"","region","Year","mean_AQI"
"58","District Of Columbia",2020,41.4781420765027
"59","Florida",2016,38.0901910096223
"60","Florida",2017,38.4333621808741
"61","Florida",2018,36.9739822247706
"62","Florida",2019,37.3663811874002
"63","Florida",2020,36.6283563006109
"64","Florida",2021,34.3478260869565
"65","Georgia",2016,41.1665264928511
"66","Georgia",2017,39.0972003393528
"67","Georgia",2018,37.4459150523403
"68","Georgia",2019,40.505441778818
"69","Georgia",2020,35.6082560076136
"70","Georgia",2021,35.1010016694491
"71","Hawaii",2016,54.6593406593407
"72","Hawaii",2017,53.2477693891558
"73","Hawaii",2018,41.5290456431535
"74","Hawaii",2019,20.8579272477694
"75","Hawaii",2020,20.2875952875953
"76","Hawaii",2021,27.6610169491525
"77","Idaho",2016,29.1865079365079
"78","Idaho",2017,36.0274850469952
"79","Idaho",2018,32.4612505198946
"80","Idaho",2019,28.1423836486673
"81","Idaho",2020,32.4309353526855
"82","Idaho",2021,28.6861924686192
"83","Illinois",2016,35.6276986678916
"84","Illinois",2017,37.9448686278913
"85","Illinois",2018,37.6959089444862
"86","Illinois",2019,36.4908670774648
"87","Illinois",2020,34.8798743500867
"88","Illinois",2021,33.8609823911029
"89","Indiana",2016,38.4925639500297
"90","Indiana",2017,37.9634749176126
"91","Indiana",2018,37.4356674142371
"92","Indiana",2019,37.1717356886926
"93","Indiana",2020,36.0831664998332
"94","Indiana",2021,36.8940464177598
"95","Iowa",2016,37.1160625866508
"96","Iowa",2017,39.5291442744936
"97","Iowa",2018,41.2404075438977
"98","Iowa",2019,37.9047722342733
"99","Iowa",2020,36.6872703695699
"100","Iowa",2021,42.1581166549543
"101","Kansas",2016,35.4288189431129
"102","Kansas",2017,35.2087244616234
"103","Kansas",2018,35.7774202198981
"104","Kansas",2019,34.1819658813972
"105","Kansas",2020,35.8745810055866
"106","Kentucky",2016,40.5419596280336
"107","Kentucky",2017,39.3883694412771
"108","Kentucky",2018,38.6428070994862
"109","Kentucky",2019,37.7781092244149
"110","Kentucky",2020,34.681414922657
"111","Kentucky",2021,30.5584415584416
"112","Louisiana",2016,39.5496478386963
"113","Louisiana",2017,37.3758902664205
"114","Louisiana",2018,37.1526557377049
"115","Louisiana",2019,36.7524348512767
"116","Louisiana",2020,35.1123847167325
"117","Louisiana",2021,32.7611771363894
"118","Maine",2016,34.3941034897714
"119","Maine",2017,36.3337356668678
"120","Maine",2018,35.3042168674699
"121","Maine",2019,33.6774096385542
"122","Maine",2020,33.8289855072464
"123","Maine",2021,36.7510040160643
"124","Maryland",2016,43.9702814406613
"125","Maryland",2017,42.0217313218391
"126","Maryland",2018,40.2095744680851
"127","Maryland",2019,38.9429684732554
"128","Maryland",2020,34.389593675308
"129","Maryland",2021,34.2596063730084
"130","Massachusetts",2016,38.1239669421488
"131","Massachusetts",2017,39.3757176270466
"132","Massachusetts",2018,38.8665254237288
"133","Massachusetts",2019,38.623249893933
"134","Massachusetts",2020,37.5817643325576
"135","Massachusetts",2021,35.5042194092827
"136","Michigan",2016,38.6141762452107
"137","Michigan",2017,37.9504595917393
"138","Michigan",2018,38.026404224676
"139","Michigan",2019,36.1552691251939
"140","Michigan",2020,36.0207683073229
"141","Michigan",2021,27.9717741935484
"142","Minnesota",2016,30.5159463487332
"143","Minnesota",2017,33.619371032039
"144","Minnesota",2018,34.3762819586884
